sample,rank,frame,delta_vs_baseline,hf_energy_db,baseline_snr,candidate_snr,sony_complexity_score,sony_residual_bits,sony_actual_bits_used,sony_attack_ratio,sony_transient_triggered,sony_matrix_index,sony_matrix_changed,sony_weight_sum,sony_weight_delta,sony_gain_sum,sony_gain_delta,sony_num_tonals,bucket,bucket_reason,recommended_action
YOUtopia,1,644,-0.00043173763023318656,69.82880810765222,17.493086894282527,17.492655156652294,124.0,1246.0,1370.0,1.59406582514445,0,3,0,203.0,0.5,18.0,0.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
YOUtopia,2,531,0.0,75.25530813746164,15.89761077516658,15.89761077516658,193.0,1216.0,1409.0,1.778761319093223,0,3,0,196.5,4.0,19.0,1.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,3,572,0.0,75.11449303005485,12.246548507360323,12.246548507360323,104.5,1305.0,1409.5,3.167486158860562,1,3,0,198.0,3.0,16.0,1.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,4,589,0.0,75.11375334665937,15.588873665493681,15.588873665493681,56.5,1342.0,1398.5,1.5212242438943888,0,3,0,192.5,7.0,17.0,1.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,5,570,0.0,74.81338127293235,11.940300149943116,11.940300149943116,11.5,1383.5,1395.0,1.2110311348813416,0,3,0,201.5,2.5,16.5,0.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,6,573,0.0,74.73174032734585,12.806884159052014,12.806884159052014,137.5,1257.0,1394.5,2.9027035261509617,1,3,0,192.0,6.0,19.5,3.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,7,407,0.0,74.56957300842069,13.735068958867483,13.735068958867483,71.5,1323.0,1394.5,1.1274438300904503,0,3,0,183.0,8.0,17.0,2.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,8,571,0.0,74.454124417501,12.526506789751783,12.526506789751783,22.0,1360.5,1382.5,1.209026196272263,0,3,0,201.0,0.5,17.5,1.0,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
YOUtopia,9,530,0.0,74.40262139495948,12.374982979267354,12.374982979267354,101.5,1299.5,1401.0,1.3006834710744395,0,3,0,200.5,0.0,18.0,0.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
YOUtopia,10,529,0.0,74.32475212720246,12.001231934275747,12.001231934275747,65.0,1323.0,1388.0,1.29431435627724,0,3,0,200.5,3.5,17.5,1.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,11,528,0.0,74.2359216054927,13.266899419811812,13.266899419811812,49.5,1345.0,1394.5,1.1676190368859927,0,3,0,197.0,0.5,16.5,0.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
YOUtopia,12,574,0.0,74.21375306012622,13.07521707092108,13.07521707092108,246.5,1159.0,1405.5,2.123403671769203,1,3,0,199.5,7.5,19.0,0.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,13,494,0.0,74.13737374033376,14.222663530769168,14.222663530769168,83.5,1283.5,1367.0,1.7904188727943748,0,3,0,203.5,4.0,17.5,0.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,14,451,0.0,74.0991604193752,17.268433535328796,17.268433535328796,18.5,1395.0,1413.5,1.3831640736907957,0,3,0,196.0,7.0,15.5,3.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,15,506,0.0,74.04830573902845,13.144156611491418,13.144156611491418,30.0,1382.0,1412.0,1.3182641101056076,0,3,0,197.0,3.0,15.0,2.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,16,508,0.0,74.04317326376133,14.6206982897529,14.6206982897529,37.0,1370.0,1407.0,1.1146580245863653,0,3,0,198.5,3.0,16.5,0.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
