32 3 7.0
-0.07456864 0.02443474 0.13266146 0.01895385
-0.09758715 0.01628699 0.18615758 0.02658594
-0.01333344 -0.03051540 0.54459977 0.07779920
-0.03858753 -0.00658832 0.37440318 0.05348970
-0.15689375 0.03263140 0.08516254 0.01216806
-0.03305752 0.00031958 0.34707633 0.04958032
-0.06691933 0.02524291 0.12721659 0.01817301
-0.06978089 0.01302303 0.21606243 0.03087300
-0.06842698 0.01033084 0.21876635 0.03124780
0.05674997 -0.02628607 0.53915870 0.07702761
-0.11821476 0.03882969 0.01135841 0.00163088
0.01423537 -0.00444251 0.34826753 0.04975221
0.06339170 -0.00550872 0.36831039 0.05261428
-0.03075631 0.02815444 0.11682403 0.01669102
-0.03653322 0.00504928 0.32087880 0.04583785
0.06420236 -0.00020357 0.37105390 0.05301151
0.06441870 -0.05172961 0.78465515 0.11209103
0.09941284 -0.02100307 0.51053715 0.07294324
0.02753914 0.02593862 0.19836675 0.02833763
0.03168029 -0.02088532 0.51326102 0.07332276
0.20571786 -0.04586812 0.73720419 0.10531990
0.37407041 -0.04363154 0.80659038 0.11525329
0.67871946 -0.07457519 1.03471434 0.14778616
0.53700083 -0.09455666 1.18592775 0.16943745
-0.58804089 0.02831976 0.05350121 0.00763226
-0.15826231 -0.00588985 0.40614149 0.05801931
-0.50536025 0.07049181 -0.29074007 -0.04154465
-0.44801486 0.04582800 -0.04810837 -0.00687301
-0.41150734 0.05724734 -0.14740494 -0.02105825
0.36311841 -0.00699080 0.45046544 0.06435221
0.27716440 -0.01638782 0.54446286 0.07778077
0.44588074 -0.04238229 0.77046835 0.11006754
