frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
1,0.0,0.0,0.0,1536.0,23.0,9.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
2,0.0,0.0,0.0,1536.0,41.0,9.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
3,-303.0,1628.5,1325.5,1536.0,1528.0,1424.0,5.0,0.0,1.0,0,3,3,0,173.5,173.5,18.5,18.5,4.0,53;44;39;40 | 50;43;40;38,5;5;4;4 | 5;5;5;4
4,-212.5,1615.5,1403.0,1536.0,1528.0,1509.5,5.0,0.0,1.0,0,3,3,0,199.0,25.5,23.0,4.5,4.0,53;53;48;46 | 53;51;49;45,7;7;5;4 | 7;6;5;5
5,50.5,1328.5,1379.0,1536.0,1528.0,1509.5,5.0,0.0,1.0903676177397563,0,3,3,0,186.5,12.5,20.0,3.0,4.0,53;52;43;40 | 53;51;43;38,7;7;4;3 | 7;6;3;3
6,74.0,1309.5,1383.5,1536.0,1527.0,1513.0,5.0,0.0,1.0,0,3,3,0,167.0,19.5,17.0,3.0,4.0,43;45;40;38 | 50;41;38;39,6;5;3;3 | 7;4;3;3
7,-16.0,1422.0,1406.0,1536.0,1527.5,1513.5,5.0,0.0,1.7473462079507087,0,3,3,0,165.5,1.5,17.5,0.5,4.0,45;45;40;35 | 45;45;39;37,6;5;4;3 | 6;5;3;3
8,-114.0,1493.5,1379.5,1536.0,1527.5,1482.0,5.0,0.0,1.1496216600554652,0,3,3,0,199.0,33.5,21.0,3.5,4.0,55;50;46;47 | 52;54;49;45,6;6;4;5 | 6;6;5;4
9,-155.0,1535.5,1380.5,1536.0,1527.5,1509.0,5.0,0.0,1.2431610249731637,0,3,3,0,199.0,0.0,21.5,0.5,4.0,56;51;47;45 | 55;50;48;46,7;6;4;4 | 7;6;5;4
10,80.0,1332.5,1412.5,1536.0,1526.5,1512.5,5.0,0.0,1.010101079940796,0,3,3,0,186.0,13.0,20.5,1.0,4.0,48;51;44;42 | 51;51;45;40,7;7;4;4 | 6;6;4;3
11,65.5,1337.0,1402.5,1536.0,1528.0,1514.0,5.0,0.0,1.3606556182393659,0,3,3,0,173.5,12.5,18.0,2.5,4.0,46;47;40;39 | 52;46;39;38,6;6;3;3 | 7;5;3;3
12,48.0,1338.5,1386.5,1536.0,1528.0,1514.0,5.0,0.0,2.275362264306277,1,3,3,0,167.0,6.5,19.0,1.0,4.0,45;46;43;39 | 46;38;40;37,6;6;5;4 | 6;3;4;4
13,-53.5,1453.5,1400.0,1536.0,1527.5,1513.5,5.0,0.0,1.1672979990641277,0,3,3,0,167.0,0.0,19.0,0.0,4.0,46;42;38;36 | 47;45;40;40,6;5;4;3 | 6;6;4;4
14,-71.0,1435.5,1364.5,1536.0,1527.0,1463.5,5.0,0.0,3.4387983886723292,1,3,3,0,188.0,21.0,18.5,0.5,4.0,51;51;42;42 | 51;51;45;43,7;6;3;3 | 6;5;4;3
15,-133.5,1548.0,1414.5,1536.0,1528.0,1514.0,5.0,0.0,1.1258941281655517,0,3,3,0,194.0,6.0,23.5,5.0,4.0,58;48;47;43 | 56;48;44;44,7;6;6;5 | 7;6;5;5
