frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
1,0.0,0.0,0.0,1536.0,23.0,9.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
2,0.0,0.0,0.0,1536.0,32.0,9.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
3,-220.0,1609.5,1389.5,1536.0,1527.5,1504.5,5.0,0.0,1.3403267691496166,0,3,3,0,77.5,77.5,16.0,16.0,4.0,14;17;19;23 | 15;22;22;23,5;2;3;4 | 5;4;5;4
4,-144.0,1453.0,1309.0,1536.0,1527.5,1414.5,5.0,0.0,1.5719485358850047,0,3,3,0,184.5,107.0,16.5,0.5,4.0,45;45;47;46 | 47;47;46;46,6;2;4;5 | 6;4;3;3
5,-46.0,1464.5,1418.5,1536.0,1528.0,1514.0,5.0,0.0,1.233949243393129,0,3,3,0,185.5,1.0,17.0,0.5,4.0,45;48;45;47 | 45;46;48;47,6;4;3;4 | 6;3;4;4
6,52.5,1327.5,1380.0,1536.0,1527.0,1513.0,5.0,0.0,1.3226200572674478,0,3,3,0,184.5,1.0,17.5,0.5,4.0,46;49;46;47 | 44;44;46;47,6;4;4;4 | 6;4;3;4
7,80.0,1322.5,1402.5,1536.0,1527.0,1513.0,5.0,0.0,1.105578925627792,0,3,3,0,177.5,7.0,16.0,1.5,4.0,45;48;43;44 | 43;44;43;45,6;4;3;3 | 6;3;3;4
8,84.5,1335.5,1420.0,1536.0,1528.0,1514.0,5.0,0.0,1.1590910752614338,0,3,3,0,180.5,3.0,19.0,3.0,4.0,44;45;45;47 | 46;45;44;45,7;4;4;4 | 7;4;4;4
9,25.0,1355.0,1380.0,1536.0,1528.0,1514.0,5.0,0.0,1.8906883566042236,0,3,3,0,175.0,5.5,15.0,4.0,4.0,43;44;45;45 | 42;44;43;44,6;3;3;3 | 6;3;3;3
10,66.0,1355.0,1421.0,1536.0,1528.0,1514.0,5.0,0.0,1.1944444179534912,0,3,3,0,181.0,6.0,18.0,3.0,4.0,43;45;45;46 | 46;46;46;45,7;4;4;4 | 6;4;4;3
11,7.5,1366.0,1373.5,1536.0,1527.0,1508.5,5.0,0.0,1.2243466756206296,0,3,3,0,176.5,4.5,16.5,1.5,4.0,44;45;45;44 | 44;45;41;45,6;3;4;3 | 6;4;3;4
12,11.0,1403.0,1414.0,1536.0,1527.5,1513.5,5.0,0.0,1.2222222487131755,0,3,3,0,178.0,1.5,15.5,1.0,4.0,42;46;45;44 | 44;45;46;44,6;3;3;3 | 6;3;4;3
13,73.0,1325.5,1398.5,1536.0,1527.0,1513.0,5.0,0.0,1.195707082748413,0,3,3,0,180.0,2.0,17.0,1.5,4.0,44;46;45;47 | 43;45;45;45,7;4;4;4 | 6;3;3;3
14,62.5,1345.5,1408.0,1536.0,1528.0,1514.0,5.0,0.0,1.1096573551775555,0,3,3,0,178.0,2.0,17.5,0.5,4.0,45;46;42;46 | 43;45;43;46,6;3;3;4 | 7;4;4;4
15,42.0,1352.0,1394.0,1536.0,1528.0,1514.0,5.0,0.0,1.4425818102352235,0,3,3,0,174.5,3.5,15.5,2.0,4.0,39;45;43;45 | 40;45;47;45,6;3;3;3 | 6;3;4;3
16,35.5,1371.0,1406.5,1536.0,1528.0,1514.0,5.0,0.0,1.4444444444444444,0,3,3,0,176.5,2.0,15.0,0.5,4.0,42;45;41;45 | 44;45;46;45,6;3;3;3 | 6;3;3;3
