frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
1,0.0,0.0,0.0,1536.0,23.0,9.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
2,0.0,0.0,0.0,1536.0,41.0,9.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
3,78.0,1044.0,1122.0,1536.0,1528.0,1227.0,265.0,0.0,1.0,0,3,3,0,123.0,123.0,28.0,28.0,4.0,16;36;36;35 | 16;36;36;35,7;7;7;7 | 7;7;7;7
4,202.0,282.0,484.0,1536.0,914.0,568.0,337.0,0.0,0.903867113613012,0,3,3,0,72.0,51.0,28.0,0.0,4.0,20;13;24;15 | 20;13;24;15,7;7;7;7 | 7;7;7;7
5,190.0,244.0,434.0,1536.0,936.0,518.0,409.0,0.0,1.3498509434244197,0,3,3,0,66.0,6.0,21.0,7.0,3.0,4;18;25;19 | 4;18;25;19,0;7;7;7 | 0;7;7;7
6,188.0,338.0,526.0,1536.0,1028.0,610.0,409.0,0.0,1.6417779973375943,0,3,3,0,78.0,12.0,28.0,7.0,4.0,24;18;10;26 | 24;18;10;26,7;7;7;7 | 7;7;7;7
7,227.0,368.0,595.0,1536.0,1097.0,679.0,409.0,0.0,2.2954783256393676,1,3,3,0,88.0,10.0,28.0,0.0,4.0,24;16;21;27 | 24;16;21;27,7;7;7;7 | 7;7;7;7
8,61.0,312.0,373.0,1536.0,818.0,400.0,409.0,0.0,2.2954783256393676,1,3,3,0,74.0,14.0,28.0,0.0,4.0,17;23;18;16 | 17;23;18;16,7;7;7;7 | 7;7;7;7
9,269.0,384.0,653.0,1536.0,1155.0,737.0,409.0,0.0,1.9301807757794296,0,3,3,0,60.0,14.0,21.0,7.0,3.0,14;23;3;20 | 14;23;3;20,7;7;0;7 | 7;7;0;7
10,367.0,453.0,820.0,1536.0,1322.0,904.0,409.0,0.0,1.989134552545509,0,3,3,0,74.0,14.0,28.0,7.0,4.0,13;18;23;20 | 13;18;23;20,7;7;7;7 | 7;7;7;7
11,270.0,428.0,698.0,1536.0,1197.0,779.0,409.0,0.0,2.1344857658094685,1,3,3,0,47.0,27.0,28.0,0.0,4.0,7;12;22;6 | 7;12;22;6,7;7;7;7 | 7;7;7;7
12,262.0,430.0,692.0,1536.0,1191.0,773.0,409.0,0.0,2.1344857658094685,1,3,3,0,64.0,17.0,28.0,0.0,4.0,7;11;17;29 | 7;11;17;29,7;7;7;7 | 7;7;7;7
13,327.0,488.0,815.0,1536.0,1314.0,896.0,409.0,0.0,1.9497085977969226,0,3,3,0,55.0,9.0,28.0,0.0,4.0,7;10;15;23 | 7;10;15;23,7;7;7;7 | 7;7;7;7
14,172.0,361.0,533.0,1536.0,987.0,569.0,409.0,0.0,1.941176516439633,0,3,3,0,37.0,18.0,21.0,7.0,3.0,3;6;11;17 | 3;6;11;17,0;7;7;7 | 0;7;7;7
15,274.0,373.0,647.0,1536.0,1146.0,728.0,409.0,0.0,1.9145708856925334,0,3,3,0,22.0,15.0,14.0,7.0,2.0,1;1;7;13 | 1;1;7;13,0;0;7;7 | 0;0;7;7
