frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
1,0.0,0.0,0.0,1536.0,23.0,9.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
2,0.0,0.0,0.0,1536.0,50.0,9.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
3,0.0,1141.0,1141.0,1536.0,1524.0,1232.0,265.0,0.0,1.0,0,3,3,0,114.0,114.0,28.0,28.0,4.0,21;33;31;29 | 21;33;31;29,7;7;7;7 | 7;7;7;7
4,88.0,163.0,251.0,1536.0,546.0,272.0,265.0,0.0,0.9041028924950364,0,3,3,0,61.0,53.0,28.0,0.0,4.0,22;18;13;8 | 22;18;13;8,7;7;7;7 | 7;7;7;7
5,81.0,165.0,246.0,1536.0,541.0,267.0,265.0,0.0,0.7524940481209644,0,3,3,0,63.0,2.0,28.0,0.0,4.0,22;18;14;9 | 22;18;14;9,7;7;7;7 | 7;7;7;7
6,93.0,168.0,261.0,1536.0,556.0,282.0,265.0,0.0,0.6977973451018255,0,3,3,0,62.0,1.0,28.0,0.0,4.0,21;18;14;9 | 21;18;14;9,7;7;7;7 | 7;7;7;7
7,193.0,194.0,387.0,1536.0,745.0,471.0,265.0,0.0,0.7496450435980354,0,3,3,0,56.0,6.0,28.0,0.0,4.0,21;17;13;5 | 21;17;13;5,7;7;7;7 | 7;7;7;7
8,229.0,192.0,421.0,1536.0,779.0,505.0,265.0,0.0,0.7496450435980354,0,3,3,0,63.0,7.0,28.0,0.0,4.0,20;19;15;9 | 20;19;15;9,7;7;7;7 | 7;7;7;7
9,258.0,243.0,501.0,1536.0,859.0,585.0,265.0,0.0,0.6808124674100746,0,3,3,0,71.0,8.0,28.0,0.0,4.0,21;21;17;12 | 21;21;17;12,7;7;7;7 | 7;7;7;7
10,264.0,300.0,564.0,1536.0,922.0,648.0,265.0,0.0,0.7384843893230055,0,3,3,0,75.0,4.0,28.0,0.0,4.0,20;23;19;13 | 20;23;19;13,7;7;7;7 | 7;7;7;7
