sample_name,frame_idx,channel,num_bands,target_bits,sideinfo_bits,tonal_bits,gain_bits,extra_bits,residual_bits,actual_bits_used,complexity_score,num_tonals,tonal_candidate_count,tonal_promoted_count,transient_flag_raw,transient_triggered,attack_ratio,matrix_index,weight_idx,gain_points_per_band,energies
Badlands,1,0,1,1536,23,5,9,9,0,0,0,0,0,0,0,0,0,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;0;0;0;0;0;0;0
Badlands,1,1,1,1536,23,5,9,9,0,0,0,0,0,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;0;0;0
Badlands,2,0,1,1536,32,5,9,18,0,0,0,0,0,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;0;0;0
Badlands,2,1,1,1536,50,5,9,36,0,0,0,0,0,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;0;0;0
Badlands,3,0,29,1536,1528,5,1424,99,1658,1323,-335,0,0,0,0,0,1,3,53;44;39;40,5;5;4;4,1.401298464324817e-44;6;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071
Badlands,3,1,29,1536,1528,5,1424,99,1599,1328,-271,0,0,0,0,0,1,3,50;43;40;38,5;5;5;4,1.401298464324817e-44;6;5.936742305755615;5.936742305755615;5.270075798034668;4.936742305755615;4.270075798034668;3.270076036453247
Badlands,4,0,29,1536,1528,5,1514,9,1598,1407,-191,0,0,0,0,0,1,3,53;53;48;46,7;7;5;4,1.401298464324817e-44;6;5.929166316986084;5.929166316986084;5.262499809265137;4.929166316986084;4.5958333015441895;3.262500047683716
Badlands,4,1,29,1536,1528,5,1505,18,1633,1399,-234,0,0,0,0,0,1,3,53;51;49;45,7;6;5;5,1.401298464324817e-44;7.535226345062256;7.535226345062256;5.535226345062256;4.868559837341309;4.535226821899414;4.201893329620361;3.8685600757598877
Badlands,5,0,29,1536,1528,5,1514,9,1274,1362,88,0,0,0,0,0,1.0903676177397563,3,53;52;43;40,7;7;4;3,1.401298464324817e-44;7.355302333831787;6.68863582611084;6.021969318389893;4.68863582611084;4.355302810668945;3.688636064529419;4.021969318389893
Badlands,5,1,29,1536,1528,5,1505,18,1383,1396,13,0,0,0,0,0,0.95021214205213,3,53;51;43;38,7;6;3;3,1.401298464324817e-44;6.695075988769531;6.3617424964904785;3.3617427349090576;3;2.3617427349090576;1.361742615699768;0.6950759887695312
