sample_name,frame_idx,channel,num_bands,target_bits,sideinfo_bits,tonal_bits,gain_bits,extra_bits,residual_bits,actual_bits_used,complexity_score,num_tonals,tonal_candidate_count,tonal_promoted_count,transient_flag_raw,transient_triggered,attack_ratio,matrix_index,weight_idx,gain_points_per_band,energies
YOUtopia,1,0,1,1536,23,5,9,9,0,0,0,0,0,0,0,0,0,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;0;0;0;0;0;0;0
YOUtopia,1,1,1,1536,23,5,9,9,0,0,0,0,0,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;0;0;0
YOUtopia,2,0,1,1536,32,5,9,18,0,0,0,0,0,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;0;0;0
YOUtopia,2,1,1,1536,32,5,9,18,0,0,0,0,0,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071
YOUtopia,3,0,29,1536,1528,5,1505,18,1598,1384,-214,0,0,0,0,0,1,3,14;17;19;23,5;2;3;4,1.401298464324817e-44;6;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071
YOUtopia,3,1,29,1536,1527,5,1504,18,1621,1395,-226,0,0,0,0,0,1.3403267691496166,3,15;22;22;23,5;4;5;4,1.401298464324817e-44;6;3.251136302947998;3.9178030490875244;5.251136302947998;3.9178030490875244;3.584469795227051;2.251136302947998
YOUtopia,4,0,29,1536,1528,5,1406,117,1467,1288,-179,0,0,0,0,0,1.0948480021318228,3,45;45;47;46,6;2;4;5,1.401298464324817e-44;6;4.847727298736572;4.847727298736572;5.181060314178467;3.5143940448760986;3.5143940448760986;3.8477272987365723
YOUtopia,4,1,29,1536,1527,5,1423,99,1439,1330,-109,0,0,0,0,0,1.5719485358850047,3,47;47;46;46,6;4;3;3,1.401298464324817e-44;6;2.9140148162841797;4.580681324005127;4.9140143394470215;4.247347831726074;3.580681324005127;3.9140148162841797
YOUtopia,5,0,29,1536,1528,5,1514,9,1451,1418,-33,0,0,0,0,0,1.1883762974524419,3,45;48;45;47,6;4;3;4,1.401298464324817e-44;6;3.8723480701446533;3.205681324005127;3.5390148162841797;4.205681324005127;4.205681324005127;3.205681324005127
YOUtopia,5,1,29,1536,1528,5,1514,9,1478,1419,-59,0,0,0,0,0,1.233949243393129,3,45;46;48;47,6;3;4;4,1.401298464324817e-44;6;3.849621295928955;2.849621295928955;3.5162880420684814;3.849621295928955;3.5162880420684814;3.182954788208008
YOUtopia,6,0,29,1536,1526,5,1512,9,1349,1377,28,0,0,0,0,0,1.3226200572674478,3,46;49;46;47,6;4;4;4,1.401298464324817e-44;6;3.099621295928955;4.099621295928955;3.432954788208008;3.432954788208008;3.099621295928955;3.099621295928955
